sno,latitude,longitude,pothole,rating
1,13.0085 ,77.5386,24,2
2,12.9763 ,77.5525,17,9
3,12.9128 ,77.6374,16,2
4,12.8918 ,77.6081,34,10
5,12.8467 ,77.7134,31,9
6,12.8418 ,77.7445,19,1
7,13.0561 ,77.5911,31,2
8,12.8611 ,77.4981,15,2
9,12.9240 ,77.5868,23,5
10,12.9460 ,77.5728,22,10
11,12.9650 ,77.7116,16,6
12,13.0984 ,77.4949,33,8
13,12.8745 ,77.5888,17,5
14,12.9989 ,77.5539,28,5
15,13.0496 ,77.7486,29,1
16,13.0325 ,77.7365,23,1
17,12.9281 ,77.5286,24,2
18,12.8660 ,77.5081,19,10
19,12.9769 ,77.5777,18,6
20,12.9830 ,77.5689,33,8
21,12.9736 ,77.5210,16,2
22,12.8965 ,77.5141,19,10
23,12.8832 ,77.7068,21,4
24,12.9990 ,77.6771,33,8
25,13.0667 ,77.5983,26,8
26,13.0362 ,77.5164,33,7
27,13.0420 ,77.6142,16,7
28,12.9829 ,77.5143,16,8
29,13.0910 ,77.6244,21,3
30,12.8492 ,77.5328,27,9
31,12.9891 ,77.5212,18,1
32,13.0484 ,77.6804,31,9
33,12.9699 ,77.5483,20,6
34,12.9459 ,77.7421,15,2
35,12.9035 ,77.6159,28,1
36,13.0446 ,77.6957,25,9
37,12.9497 ,77.6510,29,7
38,12.8545 ,77.6011,25,6
39,12.9843 ,77.4919,22,6
40,12.9637 ,77.6713,24,2
41,12.8907 ,77.6716,18,7
42,12.9237 ,77.5770,17,9
43,12.9345 ,77.5153,21,10
44,12.9120 ,77.5727,33,9
45,13.0509 ,77.4854,28,10
46,12.8467 ,77.6514,34,6
47,12.9380 ,77.6021,21,4
48,12.9563 ,77.4915,27,4
49,12.9855 ,77.7063,16,9
50,13.0894 ,77.5070,26,1
51,12.9991 ,77.6170,18,5
52,12.9913 ,77.5968,26,10
53,13.0642 ,77.6984,20,7
54,13.0363 ,77.7223,35,5
55,12.9475 ,77.6709,15,1
56,12.9707 ,77.5361,28,4
57,13.0885 ,77.6416,22,8
58,12.8822 ,77.5739,15,9
59,13.0428 ,77.5155,33,8
60,12.9641 ,77.4904,34,10
61,12.8742 ,77.5497,18,1
62,12.8935 ,77.4888,26,9
63,13.0479 ,77.6084,33,2
64,12.9473 ,77.6911,32,3
65,12.9678 ,77.5480,19,9
66,13.0863 ,77.7339,26,4
67,13.0762 ,77.6502,21,6
68,13.0448 ,77.7010,23,5
69,12.9543 ,77.7442,25,4
70,13.0561 ,77.4834,33,1
71,12.9478 ,77.7072,25,1
